"ReleaseId","Path","Class","Buggy","CodeSmells","NSmells","Touches","TotalTouches","IssueTouches","TotalIssueTouches","Authors","TotalAuthors","AddedLines","DeletedLines","Churn","TotalChurn","prevBuggy","AgeInReleases"
"release-1.3.2","/lang/java/src/java/org/apache/avro/file/DataFileWriter.java/","org.apache.avro.file.DataFileWriter","yes","3","5","6","6","6","6","2","2","177","41","218","218","no","1"
"release-1.3.2","/lang/java/src/java/org/apache/avro/file/DataFileWriter.java/","org.apache.avro.file.DataFileWriter.BufferedFileOutputStream","yes","1","1","6","6","6","6","2","2","177","41","218","218","no","1"
"release-1.3.2","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.Field","yes","2","4","7","7","7","7","3","3","233","59","292","292","no","1"
"release-1.3.2","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.EnumSchema","yes","7","8","7","7","7","7","3","3","233","59","292","292","no","1"
"release-1.3.2","/lang/java/src/java/org/apache/avro/generic/GenericDatumReader.java/","org.apache.avro.generic.GenericDatumReader","yes","0","2","5","5","5","5","3","3","77","198","275","275","no","1"
"release-1.3.2","/lang/java/src/java/org/apache/avro/file/DataFileReader.java/","org.apache.avro.file.DataFileReader.SeekableInputStream","yes","0","1","3","3","3","3","1","1","73","53","126","126","no","1"
"release-1.3.2","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.StringSchema","yes","0","0","7","7","7","7","3","3","233","59","292","292","no","1"
"release-1.3.2","/lang/java/src/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java/","org.apache.avro.io.parsing.ResolvingGrammarGenerator.LitS2","yes","2","3","10","10","10","10","2","2","156","46","202","202","no","1"
"release-1.3.2","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema","yes","75","78","7","7","7","7","3","3","233","59","292","292","no","1"
"release-1.3.2","/lang/java/src/java/org/apache/avro/specific/SpecificRequestor.java/","org.apache.avro.specific.SpecificRequestor","yes","0","1","3","3","3","3","2","2","7","5","12","12","no","1"
"release-1.3.2","/lang/java/src/java/org/apache/avro/file/DataFileWriter.java/","org.apache.avro.file.DataFileWriter.NonCopyingByteArrayOutputStream","yes","0","1","6","6","6","6","2","2","177","41","218","218","no","1"
"release-1.3.2","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.Type","yes","0","0","7","7","7","7","3","3","233","59","292","292","no","1"
"release-1.3.2","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.NullSchema","yes","0","0","7","7","7","7","3","3","233","59","292","292","no","1"
"release-1.3.2","/lang/java/src/java/org/apache/avro/ipc/Requestor.java/","org.apache.avro.ipc.Requestor","yes","0","3","3","3","3","3","1","1","7","6","13","13","no","1"
"release-1.3.2","/lang/java/src/java/org/apache/avro/Schema.java/","org.apache.avro.Schema.UnionSchema","yes","5","6","7","7","7","7","3","3","233","59","292","292","no","1"
"release-1.3.1","/lang/java/src/java/org/apache/avro/io/ResolvingDecoder.java/","org.apache.avro.io.ResolvingDecoder","yes","0","3","0","11","0","11","0","2","0","0","0","185","yes","2"
