Project,Path,Class,ReleaseId,LOC,StmtCount,Cyclomatic,Cognitive,DistinctOperators,DistinctOperands,TotalOperators,TotalOperands,Vocabulary,Length,Volume,Difficulty,Effort,MaxNestingDepth,isLongMethod,isGodClass,isFeatureEnvy,isDuplicatedCode,CodeSmells,NSmells,SmellDensity,Touches,TotalTouches,IssueTouches,TotalIssueTouches,Authors,TotalAuthors,AddedLines,DeletedLines,Churn,TotalChurn,prevCodeSmells,AgeInReleases,prevBuggy,Buggy
avro,/lang/java/src/java/org/apache/avro/io/BinaryData.java/,"org.apache.avro.io.BinaryData",release-1.3.2,159,114,45,14,13,72,55,255,85.0,310.0,1986.9111902026877,23.020833333333332,45740.35135779104,4,1,1,1,0,5,8,0.0503,3,3,3,3,2,2,28,33,61,61,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/Schema.java/,"org.apache.avro.Schema.DoubleSchema",release-1.3.2,3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,7,7,7,7,3,3,233,59,292,292,0,1,no,yes
avro,/lang/java/src/java/org/apache/avro/Schema.java/,"org.apache.avro.Schema.LongSchema",release-1.3.2,3,2,1,0,0,1,0,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,7,7,7,7,3,3,233,59,292,292,0,1,no,yes
avro,/lang/java/src/java/org/apache/avro/ipc/Server.java/,"org.apache.avro.ipc.Server",release-1.3.2,8,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,1,1,1,1,1,1,0,0,0,0,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/io/parsing/Symbol.java/,"org.apache.avro.io.parsing.Symbol.Kind",release-1.3.2,16,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,10,10,10,10,2,2,217,49,266,266,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/SchemaParseException.java/,"org.apache.avro.SchemaParseException",release-1.3.2,4,4,2,0,0,2,0,2,2.0,2.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,1,1,1,1,1,1,0,0,0,0,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/io/parsing/Symbol.java/,"org.apache.avro.io.parsing.Symbol",release-1.3.2,517,48,17,5,5,50,12,84,55.0,96.0,555.0105324983674,4.2,2331.044236493143,3,0,1,1,0,22,24,0.0464,10,10,10,10,2,2,217,49,266,266,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/file/SeekableFileInput.java/,"org.apache.avro.file.SeekableFileInput",release-1.3.2,11,10,5,0,0,6,0,9,6.0,9.0,23.264662506490403,0.0,0.0,0,0,0,1,0,0,1,0.0909,1,1,1,1,1,1,0,0,0,0,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/Schema.java/,"org.apache.avro.Schema.SeenPair",release-1.3.2,10,7,3,0,4,5,6,10,9.0,16.0,50.718800023077,4.0,202.875200092308,0,0,1,1,0,2,4,0.4000,7,7,7,7,3,3,233,59,292,292,0,1,no,yes
avro,/lang/java/src/java/org/apache/avro/tool/JsonToBinaryFragmentTool.java/,"org.apache.avro.tool.JsonToBinaryFragmentTool",release-1.3.2,46,31,6,3,2,30,5,47,32.0,52.0,260.0,1.5666666666666667,407.3333333333333,1,0,0,1,1,2,4,0.0870,1,1,1,1,1,1,0,0,0,0,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/ipc/stats/Stopwatch.java/,"org.apache.avro.ipc.stats.Stopwatch.Ticks",release-1.3.2,7,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0000,1,1,1,1,1,1,0,0,0,0,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/file/DeflateCodec.java/,"org.apache.avro.file.DeflateCodec",release-1.3.2,104,52,16,8,5,32,19,88,37.0,107.0,557.4115101222976,6.875,3832.204132090796,2,0,0,1,0,0,1,0.0096,5,5,5,5,2,2,184,39,223,223,0,1,no,no
avro,/lang/java/src/java/org/apache/avro/io/parsing/JsonGrammarGenerator.java/,"org.apache.avro.io.parsing.JsonGrammarGenerator",release-1.3.2,69,27,18,2,6,41,13,95,47.0,108.0,599.8955959811849,6.951219512195122,4170.005972064334,2,0,1,1,1,0,3,0.0435,5,5,5,5,2,2,11,13,24,24,0,1,no,no
