Dataset,Classifier,Precision,Recall,AUC,Kappa,NPofB20
src\main\resources\datasets\avro_dataset.csv,RandomForest,1.0000,0.9639,1.0000,0.9810,5.0000
src\main\resources\datasets\avro_dataset.csv,NaiveBayes,0.3652,1.0000,0.9952,0.5176,5.0000
src\main\resources\datasets\avro_dataset.csv,IBk(k=5),1.0000,0.9833,1.0000,0.9914,5.0000
src\main\resources\datasets\bookkeeper_dataset.csv,RandomForest,1.0000,1.0000,1.0000,1.0000,1.3053
src\main\resources\datasets\bookkeeper_dataset.csv,NaiveBayes,0.9783,0.9016,0.9786,0.7672,1.3019
src\main\resources\datasets\bookkeeper_dataset.csv,IBk(k=5),1.0000,1.0000,1.0000,1.0000,1.3053
