Dataset,Classifier,Run,Fold,Accuracy,Precision,Recall,F1,Kappa,AUC,NPofB20
avro_dataset.csv,AttributeSelectedClassifier,4,5,99.2236,1.0000,0.7619,0.8649,0.8609,0.9571,0.9048
avro_dataset.csv,AttributeSelectedClassifier,4,4,99.5342,1.0000,0.8571,0.9231,0.9207,0.9433,0.8571
avro_dataset.csv,AttributeSelectedClassifier,4,7,99.6894,1.0000,0.9091,0.9524,0.9508,0.9909,0.9545
avro_dataset.csv,AttributeSelectedClassifier,4,6,99.8447,1.0000,0.9545,0.9767,0.9759,0.9657,0.9545
avro_dataset.csv,AttributeSelectedClassifier,4,8,99.5334,1.0000,0.8571,0.9231,0.9207,0.9799,1.0000
avro_dataset.csv,AttributeSelectedClassifier,4,9,99.6890,1.0000,0.9048,0.9500,0.9484,0.9808,0.9048
avro_dataset.csv,AttributeSelectedClassifier,5,0,99.8447,1.0000,0.9524,0.9756,0.9748,0.9997,1.0000
avro_dataset.csv,AttributeSelectedClassifier,5,1,99.6894,1.0000,0.9048,0.9500,0.9484,0.9999,1.0000
avro_dataset.csv,AttributeSelectedClassifier,5,3,99.5342,1.0000,0.8571,0.9231,0.9207,0.9852,0.9524
avro_dataset.csv,AttributeSelectedClassifier,5,2,99.5342,0.9500,0.9048,0.9268,0.9244,0.9671,0.9524
avro_dataset.csv,AttributeSelectedClassifier,5,5,99.6894,1.0000,0.9048,0.9500,0.9484,0.9729,0.9524
avro_dataset.csv,AttributeSelectedClassifier,5,6,100.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
avro_dataset.csv,AttributeSelectedClassifier,5,4,99.5342,1.0000,0.8571,0.9231,0.9207,0.9589,0.9048
avro_dataset.csv,AttributeSelectedClassifier,5,9,98.9114,0.9375,0.7143,0.8108,0.8053,0.9608,0.9524
avro_dataset.csv,AttributeSelectedClassifier,5,7,99.5342,1.0000,0.8636,0.9268,0.9244,0.9851,1.0000
avro_dataset.csv,AttributeSelectedClassifier,5,8,99.8445,0.9545,1.0000,0.9767,0.9759,1.0000,1.0000
avro_dataset.csv,AttributeSelectedClassifier,6,0,99.8447,1.0000,0.9524,0.9756,0.9748,0.9909,1.0000
avro_dataset.csv,AttributeSelectedClassifier,6,1,99.5342,1.0000,0.8571,0.9231,0.9207,0.9601,1.0000
avro_dataset.csv,AttributeSelectedClassifier,6,3,99.2236,0.9444,0.8095,0.8718,0.8678,0.9987,1.0000
avro_dataset.csv,AttributeSelectedClassifier,6,2,100.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
avro_dataset.csv,AttributeSelectedClassifier,6,5,99.3789,0.9474,0.8571,0.9000,0.8968,0.9114,0.9048
avro_dataset.csv,AttributeSelectedClassifier,6,6,99.2236,0.9474,0.8182,0.8780,0.8741,0.9269,0.9091
avro_dataset.csv,AttributeSelectedClassifier,6,4,99.8447,1.0000,0.9524,0.9756,0.9748,0.9999,1.0000
avro_dataset.csv,AttributeSelectedClassifier,6,8,99.8445,1.0000,0.9524,0.9756,0.9748,0.9998,1.0000
avro_dataset.csv,AttributeSelectedClassifier,6,9,99.5334,1.0000,0.8571,0.9231,0.9207,0.9894,1.0000
avro_dataset.csv,AttributeSelectedClassifier,6,7,99.2236,1.0000,0.7727,0.8718,0.8679,0.9093,0.9091
avro_dataset.csv,AttributeSelectedClassifier,7,0,99.2236,1.0000,0.7619,0.8649,0.8609,0.9458,0.9048
avro_dataset.csv,AttributeSelectedClassifier,7,1,99.3789,0.9474,0.8571,0.9000,0.8968,0.9538,0.9524
avro_dataset.csv,AttributeSelectedClassifier,7,3,99.3789,1.0000,0.8095,0.8947,0.8916,0.8910,0.9524
avro_dataset.csv,AttributeSelectedClassifier,7,2,99.8447,1.0000,0.9524,0.9756,0.9748,0.9988,1.0000
avro_dataset.csv,AttributeSelectedClassifier,7,4,99.2236,1.0000,0.7619,0.8649,0.8609,0.9634,1.0000
avro_dataset.csv,AttributeSelectedClassifier,7,6,98.9130,1.0000,0.6818,0.8108,0.8054,0.9490,0.9545
avro_dataset.csv,AttributeSelectedClassifier,7,8,99.5334,1.0000,0.8571,0.9231,0.9207,0.9860,0.9524
avro_dataset.csv,AttributeSelectedClassifier,7,5,99.3789,1.0000,0.8095,0.8947,0.8916,0.9563,0.9524
avro_dataset.csv,AttributeSelectedClassifier,7,9,99.8445,1.0000,0.9524,0.9756,0.9748,0.9668,0.9524
avro_dataset.csv,AttributeSelectedClassifier,7,7,99.8447,1.0000,0.9545,0.9767,0.9759,0.9846,1.0000
avro_dataset.csv,AttributeSelectedClassifier,8,2,100.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
avro_dataset.csv,AttributeSelectedClassifier,8,0,99.8447,1.0000,0.9524,0.9756,0.9748,0.9998,1.0000
avro_dataset.csv,AttributeSelectedClassifier,8,1,99.6894,1.0000,0.9048,0.9500,0.9484,0.9815,1.0000
avro_dataset.csv,AttributeSelectedClassifier,8,3,99.3789,1.0000,0.8095,0.8947,0.8916,0.9792,0.9048
avro_dataset.csv,AttributeSelectedClassifier,8,4,99.8447,1.0000,0.9524,0.9756,0.9748,0.9994,1.0000
avro_dataset.csv,AttributeSelectedClassifier,8,6,99.5342,1.0000,0.8636,0.9268,0.9244,0.9906,0.9545
avro_dataset.csv,AttributeSelectedClassifier,8,5,100.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
avro_dataset.csv,AttributeSelectedClassifier,8,8,99.3779,1.0000,0.8095,0.8947,0.8916,0.9685,0.9524
avro_dataset.csv,AttributeSelectedClassifier,8,7,99.6894,1.0000,0.9091,0.9524,0.9508,0.9761,0.9091
avro_dataset.csv,AttributeSelectedClassifier,9,0,99.2236,1.0000,0.7619,0.8649,0.8609,0.9453,0.9048
avro_dataset.csv,AttributeSelectedClassifier,9,1,100.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
avro_dataset.csv,AttributeSelectedClassifier,8,9,99.5334,1.0000,0.8571,0.9231,0.9207,0.9770,1.0000
avro_dataset.csv,AttributeSelectedClassifier,9,4,98.9130,1.0000,0.6667,0.8000,0.7946,0.9136,1.0000
avro_dataset.csv,AttributeSelectedClassifier,9,3,99.8447,1.0000,0.9524,0.9756,0.9748,0.9911,0.9524
avro_dataset.csv,AttributeSelectedClassifier,9,2,99.5342,1.0000,0.8571,0.9231,0.9207,0.9542,0.9524
avro_dataset.csv,AttributeSelectedClassifier,9,6,99.8447,1.0000,0.9545,0.9767,0.9759,0.9896,0.9545
avro_dataset.csv,AttributeSelectedClassifier,9,5,99.8447,1.0000,0.9524,0.9756,0.9748,0.9988,1.0000
avro_dataset.csv,AttributeSelectedClassifier,9,7,99.6894,1.0000,0.9091,0.9524,0.9508,0.9763,0.9545
avro_dataset.csv,AttributeSelectedClassifier,9,8,99.8445,1.0000,0.9524,0.9756,0.9748,0.9604,0.9524
avro_dataset.csv,AttributeSelectedClassifier,9,9,99.6890,1.0000,0.9048,0.9500,0.9484,0.9808,1.0000
